,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
12,13,8,12,アメリカズカップ,牡7,56.0,西村 淳也,2:03.2,3 1/2,4-4-4-6,35.9,454,+4,音無 秀孝,13
0,1,5,8,マカヒキ,牡8,57.0,藤岡 康太,2:24.5,,8-8-7-7,35.9,506,+2,友道 康夫,9
1,2,6,9,アリストテレス,牡4,57.0,M.デムーロ,2:24.5,ハナ,5-4-5-4,36.1,472,+2,音無 秀孝,1
2,3,7,11,キセキ,牡7,57.0,和田 竜二,2:24.6,1/2,2-3-3-3,36.4,506,-2,辻野 泰之,4
3,4,6,10,ディアマンミノル,牡4,56.0,荻野 極,2:24.8,1 1/4,13-13-13-12,35.6,458,-6,本田 優,11
4,5,8,13,ロードマイウェイ,牡5,56.0,松山 弘平,2:24.8,クビ,11-11-9-7,36.1,476,+2,杉山 晴紀,12
5,6,7,12,オセアグレイト,牡5,57.0,野中 悠太郎,2:24.9,クビ,10-10-9-10,36.0,492,-4,菊川 正達,14
6,7,3,3,ステイフーリッシュ,牡6,56.0,川須 栄彦,2:25.1,3/4,4-4-4-4,36.7,466,+2,矢作 芳人,5
7,8,8,14,ヒートオンビート,牡4,56.0,戸崎 圭太,2:25.1,クビ,7-6-5-4,36.7,480,+14,友道 康夫,2
8,9,5,7,ダンビュライト,せん7,56.0,松若 風馬,2:25.2,クビ,2-2-2-2,37.1,492,0,音無 秀孝,8
9,10,4,6,ヒュミドール,せん5,56.0,幸 英明,2:25.3,1/2,5-6-7-7,36.7,458,-10,小手川 準,7
10,11,4,5,ムイトオブリガード,牡7,56.0,藤岡 佑介,2:25.5,1 1/2,11-11-12-12,36.3,502,+8,角田 晃一,13
11,12,1,1,アイアンバローズ,牡4,56.0,岩田 望来,2:25.7,1,8-9-11-10,36.8,504,+18,上村 洋行,3
12,13,3,4,モズベッロ,牡5,56.0,池添 謙一,2:26.7,6,13-13-14-14,36.8,480,-6,森田 直行,6
13,14,2,2,ベレヌス,牡4,56.0,斎藤 新,2:27.2,3,1-1-1-1,39.1,508,-4,杉山 晴紀,10
0,1,5,9,ドウデュース,牡2,55.0,武 豊,1:33.5,,8-7,34.5,496,-10,友道 康夫,3
1,2,3,4,セリフォス,牡2,55.0,C.デムーロ,1:33.6,1/2,5-5,34.8,486,0,中内田 充正,1
2,3,4,7,ダノンスコーピオン,牡2,55.0,松山 弘平,1:33.7,1/2,8-9,34.6,458,-4,安田 隆行,4
3,4,2,3,アルナシーム,牡2,55.0,池添 謙一,1:34.0,1 3/4,12-12,34.7,432,-6,橋口 慎介,8
4,5,7,13,ジオグリフ,牡2,55.0,C.ルメール,1:34.0,ハナ,14-13,34.5,496,+4,木村 哲也,2
5,6,7,12,トウシンマカオ,牡2,55.0,戸崎 圭太,1:34.0,ハナ,3-3,35.4,450,-2,高柳 瑞樹,9
